"","Avg mph","site","Time Period Ending"
"605",27,30361338,08:44:00
"606",25,30361338,08:59:00
"607",25,30361338,09:14:00
"608",28,30361338,09:29:00
"609",25,30361338,09:44:00
"610",28,30361338,09:59:00
"611",27,30361338,10:14:00
"612",25,30361338,10:29:00
"613",28,30361338,10:44:00
"614",27,30361338,10:59:00
"615",27,30361338,11:14:00
"616",23,30361338,11:29:00
"617",27,30361338,11:44:00
"618",21,30361338,11:59:00
"619",26,30361338,12:14:00
"620",25,30361338,12:29:00
"621",27,30361338,12:44:00
"622",26,30361338,12:59:00
"623",26,30361338,13:14:00
"624",24,30361338,13:29:00
"625",25,30361338,13:44:00
"626",27,30361338,13:59:00
"627",17,30361338,14:14:00
"628",23,30361338,14:29:00
"629",26,30361338,14:44:00
"630",25,30361338,14:59:00
"631",20,30361338,15:14:00
"632",14,30361338,15:29:00
"633",13,30361338,15:44:00
"634",15,30361338,15:59:00
"635",15,30361338,16:14:00
"636",20,30361338,16:29:00
"637",18,30361338,16:44:00
"638",21,30361338,16:59:00
"639",24,30361338,17:14:00
"640",27,30361338,17:29:00
"641",23,30361338,17:44:00
"642",25,30361338,17:59:00
"643",27,30361338,18:14:00
"644",27,30361338,18:29:00
"645",27,30361338,18:44:00
"646",28,30361338,18:59:00
"647",28,30361338,19:14:00
"648",28,30361338,19:29:00
"649",28,30361338,19:44:00
"650",29,30361338,19:59:00
"651",29,30361338,20:14:00
"652",30,30361338,20:29:00
"653",30,30361338,20:44:00
"654",29,30361338,20:59:00
"655",30,30361338,21:14:00
"656",30,30361338,21:29:00
"657",29,30361338,21:44:00
"658",29,30361338,21:59:00
"659",31,30361338,22:14:00
"660",34,30361338,22:29:00
"661",32,30361338,22:44:00
"662",31,30361338,22:59:00
"663",36,30361338,23:14:00
"664",32,30361338,23:29:00
"665",39,30361338,23:44:00
"666",37,30361338,23:59:00
"667",44,30361338,00:14:00
"668",36,30361338,00:29:00
"669",38,30361338,00:44:00
"670",33,30361338,00:59:00
"671",43,30361338,01:14:00
"672",43,30361338,01:29:00
"673",49,30361338,01:44:00
"674",40,30361338,01:59:00
"675",42,30361338,02:14:00
"676",52,30361338,02:29:00
"677",51,30361338,02:44:00
"678",27,30361338,03:14:00
"679",35,30361338,03:44:00
"680",38,30361338,03:59:00
"681",34,30361338,04:14:00
"682",34,30361338,04:44:00
"683",38,30361338,04:59:00
"684",32,30361338,05:14:00
"685",34,30361338,05:29:00
"686",31,30361338,05:44:00
"687",35,30361338,05:59:00
"688",32,30361338,06:14:00
"689",29,30361338,06:29:00
"690",32,30361338,06:44:00
"691",31,30361338,06:59:00
"692",32,30361338,07:14:00
"693",29,30361338,07:29:00
"694",31,30361338,07:44:00
"695",30,30361338,07:59:00
"696",28,30361338,08:14:00
"697",30,30361338,08:29:00
"698",26,30361338,08:44:00
"699",28,30361338,08:59:00
"700",28,30361338,09:14:00
"701",30,30361338,09:29:00
"702",27,30361338,09:44:00
"703",28,30361338,09:59:00
"704",29,30361338,10:14:00
"705",28,30361338,10:29:00
"706",27,30361338,10:44:00
"707",28,30361338,10:59:00
"708",28,30361338,11:14:00
"709",26,30361338,11:29:00
"710",27,30361338,11:44:00
"711",28,30361338,11:59:00
"712",28,30361338,12:14:00
"713",28,30361338,12:29:00
"714",27,30361338,12:44:00
"715",28,30361338,12:59:00
"716",12,30361338,13:14:00
"717",29,30361338,13:29:00
"718",28,30361338,13:44:00
"719",28,30361338,13:59:00
"720",27,30361338,14:14:00
"721",28,30361338,14:29:00
"722",27,30361338,14:44:00
"723",28,30361338,14:59:00
"724",28,30361338,15:14:00
"725",28,30361338,15:29:00
"726",27,30361338,15:44:00
"727",26,30361338,15:59:00
"728",28,30361338,16:14:00
"729",27,30361338,16:29:00
"730",27,30361338,16:44:00
"731",29,30361338,16:59:00
"732",29,30361338,17:14:00
"733",27,30361338,17:29:00
"734",28,30361338,17:44:00
"735",29,30361338,17:59:00
"736",30,30361338,18:14:00
"737",28,30361338,18:29:00
"738",29,30361338,18:44:00
"739",30,30361338,18:59:00
"740",30,30361338,19:14:00
"741",29,30361338,19:29:00
"742",30,30361338,19:44:00
"743",31,30361338,19:59:00
"744",30,30361338,20:14:00
"745",29,30361338,20:29:00
"746",30,30361338,20:44:00
"747",30,30361338,20:59:00
"748",31,30361338,21:14:00
"749",31,30361338,21:29:00
"750",34,30361338,21:44:00
"751",33,30361338,21:59:00
"752",36,30361338,22:14:00
"753",33,30361338,22:29:00
"754",31,30361338,22:44:00
"755",30,30361338,22:59:00
"756",31,30361338,23:14:00
"757",32,30361338,23:29:00
"758",25,30361338,23:44:00
"759",40,30361338,23:59:00
"760",36,30361338,00:14:00
"761",35,30361338,00:29:00
"762",29,30361338,00:44:00
"763",32,30361338,00:59:00
"764",38,30361338,01:14:00
"765",37,30361338,01:29:00
"766",36,30361338,01:44:00
"767",45,30361338,01:59:00
"768",39,30361338,02:14:00
"769",34,30361338,02:44:00
"770",32,30361338,02:59:00
"771",32,30361338,03:14:00
"772",42,30361338,03:29:00
"773",34,30361338,03:44:00
"774",37,30361338,03:59:00
"775",37,30361338,04:14:00
"776",31,30361338,04:29:00
"777",32,30361338,04:44:00
"778",37,30361338,04:59:00
"779",35,30361338,05:14:00
"780",32,30361338,05:29:00
"781",33,30361338,05:44:00
"782",36,30361338,05:59:00
"783",34,30361338,06:14:00
"784",31,30361338,06:29:00
"785",31,30361338,06:44:00
"786",29,30361338,06:59:00
"787",30,30361338,07:14:00
"788",34,30361338,07:29:00
"789",31,30361338,07:44:00
"790",30,30361338,07:59:00
"791",29,30361338,08:14:00
"792",29,30361338,08:29:00
"793",29,30361338,08:44:00
"794",29,30361338,08:59:00
"795",28,30361338,09:14:00
"796",29,30361338,09:29:00
"797",29,30361338,09:44:00
"798",28,30361338,09:59:00
"799",28,30361338,10:14:00
"800",28,30361338,10:29:00
"801",27,30361338,10:44:00
"802",28,30361338,10:59:00
"803",26,30361338,11:14:00
"804",25,30361338,11:29:00
"805",27,30361338,11:44:00
"806",26,30361338,11:59:00
"807",28,30361338,12:14:00
"808",28,30361338,12:29:00
"809",27,30361338,12:44:00
"810",27,30361338,12:59:00
"811",28,30361338,13:14:00
"812",26,30361338,13:29:00
"813",20,30361338,13:44:00
"814",27,30361338,13:59:00
"815",28,30361338,14:14:00
"816",27,30361338,14:29:00
"817",28,30361338,14:44:00
"818",27,30361338,14:59:00
"819",28,30361338,15:14:00
"820",27,30361338,15:29:00
"821",29,30361338,15:44:00
"822",29,30361338,15:59:00
"823",28,30361338,16:14:00
"824",28,30361338,16:29:00
"825",27,30361338,16:44:00
"826",28,30361338,16:59:00
"827",28,30361338,17:14:00
"828",29,30361338,17:29:00
"829",28,30361338,17:44:00
"830",29,30361338,17:59:00
"831",28,30361338,18:14:00
"832",29,30361338,18:29:00
"833",29,30361338,18:44:00
"834",28,30361338,18:59:00
"835",30,30361338,19:14:00
"836",30,30361338,19:29:00
"837",32,30361338,19:44:00
"838",29,30361338,19:59:00
"839",30,30361338,20:14:00
"840",31,30361338,20:29:00
"841",30,30361338,20:44:00
"842",30,30361338,20:59:00
"843",30,30361338,21:14:00
"844",31,30361338,21:29:00
"845",31,30361338,21:44:00
"846",32,30361338,21:59:00
"847",33,30361338,22:14:00
"848",33,30361338,22:29:00
"849",33,30361338,22:44:00
"850",29,30361338,22:59:00
"851",42,30361338,23:14:00
"852",35,30361338,23:29:00
"853",36,30361338,23:44:00
"854",36,30361338,23:59:00
"855",37,30361338,00:14:00
"856",35,30361338,00:29:00
"857",34,30361338,00:44:00
"858",42,30361338,00:59:00
"859",32,30361338,01:14:00
"860",42,30361338,01:29:00
"861",37,30361338,01:44:00
"862",37,30361338,01:59:00
"863",34,30361338,02:14:00
"864",36,30361338,02:29:00
"865",41,30361338,02:44:00
"866",36,30361338,02:59:00
"867",32,30361338,03:14:00
"868",39,30361338,03:29:00
"869",31,30361338,03:44:00
"870",35,30361338,03:59:00
"871",32,30361338,04:14:00
"872",35,30361338,04:29:00
"873",40,30361338,04:44:00
"874",39,30361338,04:59:00
"875",28,30361338,05:14:00
"876",32,30361338,05:29:00
"877",33,30361338,05:44:00
"878",26,30361338,05:59:00
"879",32,30361338,06:14:00
"880",31,30361338,06:29:00
"881",30,30361338,06:44:00
"882",30,30361338,06:59:00
